,function,name,description1,description2,description3,description4
0,['git'],"['stupid', 'content', 'tracker']","['git', 'fast', 'scalable', 'distributed', 'revision', 'control', 'system', 'unusually', 'rich', 'command', 'set', 'provides', 'high', 'level', 'operations', 'full', 'access', 'internals']","['see', 'gittutorial', '7', 'get', 'started', 'see', 'giteveryday', '7', 'useful', 'minimum', 'set', 'commands', 'git', 'user', 'manual', 'depth', 'introduction']","['mastered', 'basic', 'concepts', 'come', 'back', 'page', 'learn', 'commands', 'git', 'offers', 'learn', 'individual', 'git', 'commands', 'git', 'help', 'command', 'gitcli', '7', 'manual', 'page', 'gives', 'overview', 'command', 'line', 'command', 'syntax']","['formatted', 'hyperlinked', 'copy', 'latest', 'git', 'documentation', 'viewed', 'https', 'git', 'github', 'io', 'htmldocs', 'git', 'html']"
1,['install'],"['copy', 'files', 'set', 'attributes']","['install', 'program', 'copies', 'files', 'often', 'compiled', 'destination', 'locations', 'choose', 'want', 'download', 'install', 'ready', 'use', 'package', 'gnu', 'linux', 'system', 'instead', 'using', 'package', 'manager', 'like', 'yum', '1', 'apt', 'get', '1']","['first', 'three', 'forms', 'copy', 'source', 'dest', 'multiple', 'source', 'existing', 'directory', 'setting', 'permission', 'modes', 'owner', 'group', '4th', 'form', 'create', 'components', 'given', 'directory', 'ies']","['mandatory', 'arguments', 'long', 'options', 'mandatory', 'short', 'options']",['nan']
2,['gcc'],"['gnu', 'project', 'c', 'c', 'compiler']","['useful', 'options', 'listed', 'see', 'remainder', 'g', 'accepts', 'mostly', 'options', 'gcc']","['invoke', 'gcc', 'normally', 'preprocessing', 'compilation', 'assembly', 'linking', 'overall', 'options', 'allow', 'stop', 'process', 'intermediate', 'stage', 'example', 'c', 'option', 'says', 'run', 'linker', 'output', 'consists', 'object', 'files', 'output', 'assembler']","['options', 'passed', 'one', 'stages', 'processing', 'options', 'control', 'preprocessor', 'others', 'compiler', 'yet', 'options', 'control', 'assembler', 'linker', 'documented', 'since', 'rarely', 'need', 'use']","['command', 'line', 'options', 'use', 'gcc', 'useful', 'c', 'programs', 'option', 'useful', 'another', 'language', 'usually', 'c', 'explanation', 'says', 'explicitly', 'description', 'particular', 'option', 'mention', 'source', 'language', 'use', 'option', 'supported', 'languages']"
3,['locate'],"['list', 'files', 'databases', 'match', 'pattern']","['manual', 'page', 'documents', 'gnu', 'version', 'locate', 'given', 'pattern', 'locate', 'searches', 'one', 'databases', 'file', 'names', 'displays', 'file', 'names', 'contain', 'pattern', 'patterns', 'contain', 'shell', 'style', 'metacharacters', 'metacharacters', 'treat', 'specially', 'therefore', 'pattern', 'foo', 'bar', 'match', 'file', 'name', 'contains', 'foo3', 'bar', 'pattern', 'duck', 'match', 'file', 'name', 'contains', 'lake', 'ducky', 'patterns', 'contain', 'metacharacters', 'quoted', 'protect', 'expansion', 'shell']","['pattern', 'plain', 'string', 'contains', 'metacharacters', 'locate', 'displays', 'file', 'names', 'database', 'contain', 'string', 'anywhere', 'pattern', 'contain', 'metacharacters', 'locate', 'displays', 'file', 'names', 'match', 'pattern', 'exactly', 'result', 'patterns', 'contain', 'metacharacters', 'usually', 'begin', 'often', 'end', 'one', 'well', 'exceptions', 'patterns', 'intended', 'explicitly', 'match', 'beginning', 'end', 'file', 'name']","['file', 'name', 'databases', 'contain', 'lists', 'files', 'system', 'databases', 'last', 'updated', 'system', 'administrator', 'choose', 'file', 'name', 'default', 'database', 'frequency', 'databases', 'updated', 'directories', 'contain', 'entries', 'see', 'updatedb', '1']","['locate', 'output', 'going', 'terminal', 'unusual', 'characters', 'output', 'escaped', 'way', 'print', 'action', 'find', 'command', 'output', 'going', 'terminal', 'file', 'names', 'printed', 'exactly']"
4,['cpp'],"['c', 'preprocessor']","['c', 'preprocessor', 'often', 'known', 'cpp', 'macro', 'processor', 'used', 'automatically', 'c', 'compiler', 'transform', 'program', 'compilation', 'called', 'macro', 'processor', 'allows', 'define', 'macros', 'brief', 'abbreviations', 'longer', 'constructs']","['c', 'preprocessor', 'intended', 'used', 'c', 'c', 'objective', 'c', 'source', 'code', 'past', 'abused', 'general', 'text', 'processor', 'choke', 'input', 'obey', 'c', 'lexical', 'rules', 'example', 'apostrophes', 'interpreted', 'beginning', 'character', 'constants', 'cause', 'errors', 'also', 'cannot', 'rely', 'preserving', 'characteristics', 'input', 'significant', 'c', 'family', 'languages', 'makefile', 'preprocessed', 'hard', 'tabs', 'removed', 'makefile', 'work']","['said', 'often', 'get', 'away', 'using', 'cpp', 'things', 'c', 'algol', 'ish', 'programming', 'languages', 'often', 'safe', 'pascal', 'ada', 'etc', 'assembly', 'caution', 'traditional', 'cpp', 'mode', 'preserves', 'white', 'space', 'otherwise', 'permissive', 'many', 'problems', 'avoided', 'writing', 'c', 'c', 'style', 'comments', 'instead', 'native', 'language', 'comments', 'keeping', 'macros', 'simple']","['wherever', 'possible', 'use', 'preprocessor', 'geared', 'language', 'writing', 'modern', 'versions', 'gnu', 'assembler', 'macro', 'facilities', 'high', 'level', 'programming', 'languages', 'conditional', 'compilation', 'inclusion', 'mechanism', 'else', 'fails', 'try', 'true', 'general', 'text', 'processor', 'gnu', 'm4']"
5,['diff'],"['compare', 'files', 'line', 'line']","['compare', 'files', 'line', 'line']","['mandatory', 'arguments', 'long', 'options', 'mandatory', 'short', 'options']","['files', 'file1', 'file2', 'dir1', 'dir2', 'dir', 'file', 'file', 'dir', 'file', 'file', 'given', 'restrictions', 'file', 'file', 'read', 'standard', 'input', 'exit', 'status', '0', 'inputs', '1', 'different', '2', 'trouble']","['full', 'documentation', 'diff', 'maintained', 'texinfo', 'manual', 'info', 'diff', 'programs', 'properly', 'installed', 'site', 'command']"
6,['rm'],"['remove', 'files', 'directories']","['manual', 'page', 'documents', 'gnu', 'version', 'rm', 'rm', 'removes', 'specified', 'file', 'default', 'remove', 'directories']","['interactive', 'option', 'given', 'three', 'files', 'r', 'r', 'recursive', 'given', 'rm', 'prompts', 'user', 'whether', 'proceed', 'entire', 'operation', 'response', 'affirmative', 'entire', 'command', 'aborted']","['otherwise', 'file', 'unwritable', 'standard', 'input', 'terminal', 'f', 'force', 'option', 'given', 'interactive', 'always', 'option', 'given', 'rm', 'prompts', 'user', 'whether', 'remove', 'file', 'response', 'affirmative', 'file', 'skipped']",['nan']
7,['make'],"['gnu', 'make', 'utility', 'maintain', 'groups', 'programs']","['make', 'utility', 'determine', 'automatically', 'pieces', 'large', 'program', 'need', 'recompiled', 'issue', 'commands', 'recompile', 'manual', 'describes', 'gnu', 'implementation', 'make', 'written', 'richard', 'stallman', 'roland', 'mcgrath', 'currently', 'maintained', 'paul', 'smith', 'examples', 'show', 'c', 'programs', 'since', 'common', 'use', 'make', 'programming', 'language', 'whose', 'compiler', 'run', 'shell', 'command', 'fact', 'make', 'limited', 'programs', 'use', 'describe', 'task', 'files', 'must', 'updated', 'automatically', 'others', 'whenever', 'others', 'change']","['prepare', 'use', 'make', 'must', 'write', 'file', 'called', 'makefile', 'describes', 'relationships', 'among', 'files', 'program', 'states', 'commands', 'updating', 'file', 'program', 'typically', 'executable', 'file', 'updated', 'object', 'files', 'turn', 'made', 'compiling', 'source', 'files']","['suitable', 'makefile', 'exists', 'time', 'change', 'source', 'files', 'simple', 'shell', 'command']","['suffices', 'perform', 'necessary', 'recompilations', 'make', 'program', 'uses', 'makefile', 'description', 'last', 'modification', 'times', 'files', 'decide', 'files', 'need', 'updated', 'files', 'issues', 'commands', 'recorded', 'makefile']"
8,['mysql'],"['mariadb', 'command', 'line', 'tool']","['mysql', 'simple', 'sql', 'shell', 'gnu', 'readline', 'capabilities', 'supports', 'interactive', 'non', 'interactive', 'use', 'used', 'interactively', 'query', 'results', 'presented', 'ascii', 'table', 'format', 'used', 'non', 'interactively', 'example', 'filter', 'result', 'presented', 'tab', 'separated', 'format', 'output', 'format', 'changed', 'using', 'command', 'options']","['problems', 'due', 'insufficient', 'memory', 'large', 'result', 'sets', 'use', 'quick', 'option', 'forces', 'mysql', 'retrieve', 'results', 'server', 'row', 'time', 'rather', 'retrieving', 'entire', 'result', 'set', 'buffering', 'memory', 'displaying', 'done', 'returning', 'result', 'set', 'using', 'mysql_use_result', 'c', 'api', 'function', 'client', 'server', 'library', 'rather', 'mysql_store_result']","['using', 'mysql', 'easy', 'invoke', 'prompt', 'command', 'interpreter', 'follows']","['type', 'sql', 'statement', 'end', 'g', 'g', 'press', 'enter']"
9,['ncat'],"['concatenate', 'redirect', 'sockets']","['ncat', 'feature', 'packed', 'networking', 'utility', 'reads', 'writes', 'data', 'across', 'networks', 'command', 'line', 'ncat', 'written', 'nmap', 'project', 'culmination', 'currently', 'splintered', 'family', 'netcat', 'incarnations', 'designed', 'reliable', 'back', 'end', 'tool', 'instantly', 'provide', 'network', 'connectivity', 'applications', 'users', 'ncat', 'work', 'ipv4', 'ipv6', 'provides', 'user', 'virtually', 'limitless', 'number', 'potential', 'uses']","['among', 'ncat', 'vast', 'number', 'features', 'ability', 'chain', 'ncats', 'together', 'redirection', 'tcp', 'udp', 'sctp', 'ports', 'sites', 'ssl', 'support', 'proxy', 'connections', 'via', 'socks4', 'http', 'proxies', 'optional', 'proxy', 'authentication', 'well', 'general', 'principles', 'apply', 'applications', 'thus', 'give', 'capability', 'instantly', 'adding', 'networking', 'support', 'software', 'would', 'normally', 'never', 'support']",['nan'],['nan']
